parkcode,name,lat,long,description
/wiki/Lyman_Lake_State_Park,Lyman Reservoir,34.36,-109.37,"b'The Lyman Reservoir is the largest lake in the region. Lyman Lake State Park, is located in and administered by the Apache-Sitgreaves National Forest, attracts anglers, as well as campers and water skiers year-round.'"
/wiki/McFarland_State_Historic_Park,McFarland State Historic Park,33.04,-111.39,"b'McFarland State Historic Park is a small historic park located in downtown Florence, Arizona on the corner of Main and Ruggles Streets. The park consists of a preserved courthouse and other buildings dating to the Arizona Territory period. The original structure was built in 1878 with the addition of a jail in 1882 and the courthouse in 1891. The courthouse is listed on the National Register of Historic Places.'"
/wiki/Oracle_State_Park,Oracle State Park,32.61,-110.73,"b""Oracle State Park is a state park of Arizona, USA, preserving 3,948 acres (1,598\xc2\xa0ha) in the northeastern foothills of the Santa Catalina Mountains. The park is named after the nearby town of Oracle. Oracle State Park serves as a wildlife refuge, and is open every day from 9am - 5pm.[1]  In October 2011 Arizona State Parks agreed to reopen Oracle on a limited basis with a $40,000 budget if the park's Friends group can raise $21,000 in additional funds.[2] The park has more than 15 miles (24\xc2\xa0km) of hiking trails, including 7 miles (11\xc2\xa0km) of the Arizona Trail.[3]"""
/wiki/Patagonia_Lake_State_Park,Patagonia Lake State Park,31.49,-110.85,"b""Patagonia Lake State Park is a state park of Arizona, USA, containing Patagonia Lake.   The 2.5-mile-long (4.0\xc2\xa0km), 250-acre (100\xc2\xa0ha) lake located near Patagonia, Arizona, is a popular southern Arizona site for fishing, camping, boat rental, picnicking, hiking, and birding.  Located inside the park is the recently established Sonoita Creek State Natural Area, Arizona's first major state natural area.  Created by the damming of Sonoita Creek, the lake is habitat for reproducing largemouth bass, black crappie, bluegill, green sunfish, flathead catfish, threadfin shad, redear sunfish, channel catfish, and American bullfrogs.  Rainbow trout are stocked every three weeks from October to March.  Sonoita Creek contains black bullhead, red shiner, mosquitofish, crayfish, American bullfrogs, largemouth bass, Gila topminnows, speckled dace, longfin dace, Sonora suckers, and desert suckers.[2]  Special events include an annual mariachi festival in March and bird tours and interpretive programs on request."""
/wiki/Picacho_Peak_State_Park,Picacho Peak State Park,32.63,-111.42,"b'Picacho Peak State Park is a state park surrounding Picacho Peak in Picacho, Arizona. The park is located between Casa Grande and Tucson near Interstate 10 in Pinal County. Its centerpiece spire is visible from downtown Tucson, a distance of 45 miles (72\xc2\xa0km). The summit rises to 3,374 feet (1,028\xc2\xa0m) above mean sea level. Though appearing to be the remnant of a volcanic neck, it is now believed to be a tilted and eroded piece of rock overlain by a lava flow.'"
/wiki/Red_Rock_State_Park,Red Rock State Park,34.81,-111.83,"b'Red Rock State Park is a state park of Arizona, USA, featuring a red sandstone canyon outside the city of Sedona.  The main mission of this day-use park is the preservation of the riparian habitat along Oak Creek. Red Rock State Park serves as an environmental education facility for the public and for school or private groups, and provides limited passive recreational opportunities.[1]'"
/wiki/Riordan_Mansion_State_Historic_Park,Riordan Mansion State Historic Park,35.19,-111.66,"b'Riordan Mansion State Historic Park is a historic site in the Kinlichi Knoll neighborhood of Flagstaff, Arizona, bordering Northern Arizona University.'"
/wiki/Roper_Lake_State_Park,Roper Lake State Park,32.76,-109.70,"b'Roper Lake State Park is a state park of Arizona, surrounding 32-acre (130,000\xc2\xa0m2) Roper Lake.  The park is located off U.S. Route 191, 5 miles (8.0\xc2\xa0km) south of Safford, at the Gila River and Valley.'"
/wiki/San_Rafael_Ranch,San Rafael Ranch,31.35,-110.61,"b'The San Rafael Ranch, formerly known as the Greene Ranch,[2] is a historic cattle ranch located in the San Rafael Valley about a mile and a half north of Lochiel, Arizona, near the international border with Sonora, Mexico.[3]'"
/wiki/Slide_Rock_State_Park,Slide Rock State Park,34.92,-111.73,"b'Slide Rock State Park is an Arizona State Park located in Oak Creek Canyon 7 miles (11\xc2\xa0km) north of Sedona, Arizona, United States. It takes its name from a natural water slide formed by the slippery bed of Oak Creek. Slide Rock State Park is located on Coconino National Forest land and is co-managed by the Arizona State Parks agency and the United States Forest Service. Tall red rock formations that are typical of the region also surround the park, which contains a 43-acre (17\xc2\xa0ha) working apple farm.'"
/wiki/Tombstone_Courthouse_State_Historic_Park,Tombstone Courthouse State Historic Park,31.71,-110.07,"b""Tombstone Courthouse State Historic Park is a state park of Arizona in the United States. Located in Tombstone, the park preserves the original Cochise County courthouse.  The two-story building, constructed in 1882 in the Victorian style, is laid out in the shape of a cross and once contained various county offices, including those of the sheriff, recorder, treasurer, and the Board of Supervisors as well as courtrooms and a jail.[2] Inside, the courthouse contains a museum with numerous artifacts from the town's history while outside, a replica gallows has been constructed in the courtyard to mark the spot where seven men were hanged for various crimes.  The park was one of the first to be designated as a state park and in 1959 was the first to open following the 1957 establishment of the Arizona State Parks Board."""
/wiki/Tonto_Natural_Bridge,Tonto Natural Bridge,34.32,-111.46,"b'Tonto Natural Bridge is a natural arch in Arizona, United States, that is believed to be the largest natural travertine bridge in the world. The area surrounding the bridge has been made into a state park called Tonto Natural Bridge State Park, which is located off State Route 87, just 10 miles (16\xc2\xa0km) north of Payson.[1] Tonto Natural Bridge stands over a 400-foot-long (120\xc2\xa0m) tunnel that measures 150 feet (46\xc2\xa0m) at its widest point and reaches a height of 183 feet (56\xc2\xa0m).'"
/wiki/Tubac_Presidio_State_Historic_Park,Tubac Presidio State Historic Park,31.61,-111.05,"b'Tubac Presidio State Historic Park, located in Tubac, Arizona, USA, preserves the ruins of the Presidio San Ignacio de Tubac and various other buildings, thereby presenting a timeline of human settlement in this Southern Arizona town.  The park contains a museum, a number of historic sites, an underground archeology exhibit displaying the excavated foundations of the Tubac Presidio, and a picnic area.  Various cultural events are held on-site throughout the year, including Anza Days (October), Los Tubaque\xc3\xb1os living history presentations (Sundays from October through March), archeological tours, and nature walks.  Until recently, the park was administered by Arizona State Parks and was the first park in the Arizona state park system. As a result of budget cutbacks, the Tubac Presidio was scheduled to be closed in 2010, but was rescued by local residents and the Tubac Historical Society. It is now operated by The Friends of the Presidio and staffed with dedicated volunteers.[1]For even more information about Tubac Presidio State Historic Park, visit their official website or join the discussion on Facebook!'"
/wiki/Verde_River,Verde River,33.55,-111.66,"b""The Verde River (Yavapai: Haka'he:la) is a major tributary of the Salt River in the U.S. state of Arizona. It is about 170 miles (270\xc2\xa0km) long[4] and carries a mean flow of 602 cubic feet per second (17.0\xc2\xa0m3/s) at its mouth. It is one of the largest perennial streams in Arizona.[4]"""
/wiki/Yuma_Quartermaster_Depot_State_Historic_Park,Yuma Quartermaster Depot State Historic Park,32.73,-114.63,"b'Yuma Quartermaster Depot State Historic Park, formerly Yuma Crossing State Historic Park, and now one of the Yuma Crossing and Associated Sites on the National Register of Historic Places in the Yuma Crossing National Heritage Area. It is an Arizona state park in the city of Yuma, Arizona, US.'"
/wiki/Yuma_Territorial_Prison,Yuma Territorial Prison,32.73,-114.61,"b'The Yuma Territorial Prison is a former prison located in Yuma, Arizona, United States. Opened on July 1, 1876, and shut down on September 15, 1909. It is one of the Yuma Crossing and Associated Sites on the National Register of Historic Places in the Yuma Crossing National Heritage Area. The site is now operated as a  historical museum by Arizona State Parks as Yuma Territorial Prison State Historic Park.[2][3]'"
"/wiki/Union_County,_Arkansas","Union County, Arkansas",33.19,-92.59,"b'Union County is a county located on the central southern border of the U.S. state of Arkansas. As of the 2010 census, the population was 41,639.[1] The county seat is El Dorado.  The county was formed on November 2, 1829, and named in recognition of the citizens\' petition for a new county, which said that they were petitioning ""in the spirit of Union and Unity."" The county is directly adjacent to the south to Union Parish in the state of Louisiana.'"
"/wiki/Arkansas_County,_Arkansas","Arkansas County, Arkansas",34.27,-91.38,b'Coordinates: 34\xc2\xb016\xe2\x80\xb227\xe2\x80\xb3N 91\xc2\xb023\xe2\x80\xb202\xe2\x80\xb3W\xef\xbb\xbf / \xef\xbb\xbf34.27417\xc2\xb0N 91.38389\xc2\xb0W\xef\xbb\xbf / 34.27417; -91.38389'
"/wiki/Baxter_County,_Arkansas","Baxter County, Arkansas",36.31,-92.35,b''
"/wiki/Lincoln_County,_Arkansas","Lincoln County, Arkansas",33.96,-91.72,"b""Lincoln County is located between the Arkansas Timberlands and Arkansas Delta in the U.S. state of Arkansas. It is also within the Pine Bluff metro area, and on the outer edge of the Central Arkansas region. The county is named for President Abraham Lincoln. Created as Arkansas's 65th county on March 28, 1871, Lincoln County has three incorporated cities, including Star City, the county seat and most populous city. The county contains 46 unincorporated communities and ghost towns, Cane Creek State Park at the confluence of Cane Creek and Bayou Bartholomew, and nine listings on the National Register of Historic Places to preserve the history and culture of the county."""
"/wiki/Lafayette_County,_Arkansas","Lafayette County, Arkansas",33.26,-93.59,"b'Lafayette County /l\xc9\x91\xcb\x90\xcb\x88fe\xc9\xaa\xc9\x9bt/ is a county located in the U.S. state of Arkansas. As of the 2010 census, the population was 7,645,[2] making it the third-least populous county in Arkansas. The county seat is Lewisville.[3] Lafayette County was formed on October 15, 1827 and named in honor of the Marquis de Lafayette,[4] a French military hero of the American Revolutionary War. It is a dry county; therefore, the sale of alcohol is prohibited.'"
"/wiki/Howard_County,_Arkansas","Howard County, Arkansas",34.14,-93.99,"b""Howard County is a county located in the U.S. state of Arkansas. As of the 2010 census, the population was 13,789.[1] The county seat is Nashville.[2] Howard County is Arkansas's 74th county, formed on April 17, 1873, and named for James Howard,[3] a state senator. It is a dry county."""
"/wiki/Pike_County,_Arkansas","Pike County, Arkansas",34.17,-93.66,"b""Pike County is a county located in the U.S. state of Arkansas. As of the 2010 census, the population was 11,291.[1] The county seat is Murfreesboro.[2] Pike County is Arkansas's 25th county, formed on November 1, 1833, and named for Lieutenant Zebulon Pike, the explorer who discovered Pikes Peak. It is an alcohol prohibition or dry county."""
"/wiki/Greene_County,_Arkansas","Greene County, Arkansas",36.11,-90.56,"b""Greene County is a county located in the U.S. state of Arkansas. As of the 2010 census, the population was 42,090.[1] The county seat is Paragould,[2] which sits atop Crowley's Ridge."""
"/wiki/Pike_County,_Arkansas","Pike County, Arkansas",34.17,-93.66,"b""Pike County is a county located in the U.S. state of Arkansas. As of the 2010 census, the population was 11,291.[1] The county seat is Murfreesboro.[2] Pike County is Arkansas's 25th county, formed on November 1, 1833, and named for Lieutenant Zebulon Pike, the explorer who discovered Pikes Peak. It is an alcohol prohibition or dry county."""
"/wiki/Randolph_County,_Arkansas","Randolph County, Arkansas",36.34,-91.01,"b""Randolph County is located between the Ozark Mountains and Arkansas Delta in the U.S. state of Arkansas. The county is named for John Randolph, a U.S. senator from Virginia influential in obtaining congressional approval of the Louisiana Purchase, which includes today's Randolph County. Created as Arkansas's 32nd county on October 29, 1835, Randolph County has two incorporated cities, including Pocahontas, the county seat and most populous city. The county is also the site of numerous unincorporated communities and ghost towns."""
"/wiki/Clark_County,_Arkansas","Clark County, Arkansas",34.09,-93.16,"b'Clark County is a county located in the south-central part of the U.S. state of Arkansas. As of the 2010 census, the population was 22,995.[1] The county seat is Arkadelphia.[2] The Arkadelphia, AR Micropolitan Statistical Area includes all of Clark County.'"
"/wiki/Arkansas_County,_Arkansas","Arkansas County, Arkansas",34.27,-91.38,b'Coordinates: 34\xc2\xb016\xe2\x80\xb227\xe2\x80\xb3N 91\xc2\xb023\xe2\x80\xb202\xe2\x80\xb3W\xef\xbb\xbf / \xef\xbb\xbf34.27417\xc2\xb0N 91.38389\xc2\xb0W\xef\xbb\xbf / 34.27417; -91.38389'
"/wiki/Washington_County,_Arkansas","Washington County, Arkansas",36.00,-94.23,"b""Washington County is a regional economic, educational, and cultural hub in the Northwest Arkansas region. Created as Arkansas's 17th county on November 30, 1848, Washington County has 13 incorporated municipalities, including Fayetteville, the county seat and Springdale. The county is also the site of small towns, bedroom communities, and unincorporated places. The county is named for George Washington, the first President of the United States"""
"/wiki/Mississippi_County,_Arkansas","Mississippi County, Arkansas",35.78,-90.05,"b'Mississippi County is a county located in the U.S. state of Arkansas. As of the 2010 census, the population was 46,480.[1] There are two county seats, Blytheville and Osceola.[2] The county was formed on November 1, 1833, and named for the Mississippi River which borders the county to the east. Mississippi County is part of the First Congressional District in Arkansas. The Mississippi County Judge is John Alan Nelson.'"
