parkcode,name,latitude,longitude,description,activities,weatherInfo
aleu,Aleutian Islands World War II,53.9143,-166.5197,"During World War II the remote Aleutian Islands, home to the Unangax̂ (Aleut) people for over 8,000 years, became a fiercely contested battleground in the Pacific. This thousand-mile-long archipelago saw invasion by Japanese forces, the occupation of two islands; a mass relocation of Unangax̂ civilians; a 15-month air war; and one of the deadliest battles in the Pacific Theater.",Guided Tours|Self-Guided Tours - Walking|Self-Guided Tours - Auto|Junior Ranger Program|Wildlife Watching|Birdwatching|Museum Exhibits,"The Aleutian Islands are known for unpredictable and stormy weather. Rain, fog, and wind are common. Dress warmly and carry rain gear even in summer. Summer temperatures range from 45 to 65 degrees F. Early summer and fall often have clear sunny days with spectacular views of the surrounding volcanoes. See forecast: https://forecast.weather.gov/MapClick.php?lon=-166.52406692504883&lat=53.91748321582622#.X0aTYsi6OUk"
alfl,Alibates Flint Quarries,35.5819662,-101.6717008,"13,000 years ago, this site was well-known by mammoth hunters as a source of flint for tools. Centuries passed but the colorful flint never lost its value and usefulness in the Texas Panhandle. Gain a sense of how integral this site was to the survival, commerce and culture of the High Plains. Visit Alibates Flint Quarries to see the many colors of the beautiful Alibates Flint.",Arts and Culture|Craft Demonstrations|Camping|Guided Tours|Junior Ranger Program|Park Film|Museum Exhibits,"The Texas Panhandle experiences a wide variety of weather conditions throughout the year. Winters are cold and windy, and summers are hot and dry. It is usually a good idea to bring a jacket with you if you are planning on hiking to the quarries with a ranger because the mesa gets very windy, even in the summer."
alpo,Allegheny Portage Railroad,40.42977467,-78.57431622,"The first railroad to circumvent the Allegheny Mountains, the Allegheny Portage Railroad was the finishing piece of the Pennsylvania Mainline Canal. ""The Portage,"" opened in 1834, marking the first time that there was one, direct route between Philadelphia and Pittsburgh. All things to all people, it served merchants, passengers, slaves in pursuit of freedom, and soldiers from the Mexican War.",Arts and Culture|Cultural Demonstrations|Astronomy|Stargazing|Biking|Road Biking|Hands-On|Hiking|Living History|Historic Weapons Demonstration|First Person Interpretation|Junior Ranger Program|Park Film|Museum Exhibits|Shopping|Bookstore and Park Store,"The park is located in Cambria County, PA, and is at the summit of the Allegheny Mountains. Therefore, the park often takes on winter extremes. If planning on traveling from a long distance, please contact the park beforehand to ensure that the facilities are open. Please consult weather forecasts to ensure conditions are safe to travel in. Spring, summer, and fall are generally uneventful, but severe thunderstorms can occur."
amme,American Memorial,15.21680033,145.7231096,"American Memorial Park honors the American and Marianas people who gave their lives during the Marianas Campaign of World War II. At the park, memorials stand in tribute to the courage and sacrifice of the US Servicemen and Chamorro and Carolinian civilians who were killed in the battles between the United States and Japan that took place on Saipan, Tinian, and the Philippine Sea in 1944.",Arts and Culture|Live Music|Theater|Biking|Food|Picnicking|Guided Tours|Self-Guided Tours - Walking|Living History|First Person Interpretation|Surfing|Museum Exhibits,"The temperature varies from 75°F to 88°F and is rarely below 73°F or above 90°F.The climate is tropical, hot and humid throughout the year, with a relatively cool and dry season from December to June, and a warmer and rainy season from July to November. The temperatures are stable throughout the year."
amis,Amistad,29.53539777,-101.075821,"An oasis in the desert, Amistad National Recreation Area consists of the US portion of the International Amistad Reservoir. Amistad, whose name comes from the Spanish word meaning friendship, is best known for excellent water-based recreation, camping, hiking, rock art viewing, and its rich cultural history. Amistad is also home to a wide variety of plant and animal life above and below the water.",Boating|Motorized Boating|Jet Skiing|Camping|Backcountry Camping|Group Camping|RV Camping|Fishing|Freshwater Fishing|Hiking|Hunting and Gathering|Hunting|Paddling|Junior Ranger Program|SCUBA Diving|Swimming|Freshwater Swimming|Water Skiing|Wildlife Watching|Birdwatching|Park Film|Shopping|Bookstore and Park Store,"Weather in Southwest Texas can change in a matter of minutes. It is best to check the local weather report. Amistad National Recreation Area usually has hot summers and mild winters. For more information, please visit our Weather page at https://www.nps.gov/amis/planyourvisit/weather.htm."
anac,Anacostia,38.8782,-76.9703,"Welcome to Anacostia Park, your neighborhood national park in the heart of Washington, DC! Enjoy exercise along the river trail or relax by the water, Anacostia Park is a breath of fresh air and a space to unwind amid a bustling city.",Biking|Road Biking|Boating|Fishing|Freshwater Fishing|Food|Picnicking|Guided Tours|Self-Guided Tours - Walking|Paddling|Canoeing|Kayaking|Playground|Team Sports|Wildlife Watching,Spring brings mild temperatures and a light breeze along with springtime flower blooms. Summer can be hot and humid. Fall cools down and changing of the seasons brings changing of the colors in leaves. Winter gets cold and temperatures may drop below freezing.
ande,Andersonville,32.19831758,-84.12988898,"The Camp Sumter military prison at Andersonville was one of the largest Confederate military prisons during the Civil War. During the 14 months the prison existed, more than 45,000 Union soldiers were confined here. Of these, almost 13,000 died here. Today, Andersonville National Historic Site is a memorial to all American prisoners of war throughout the nation's history.",Auto and ATV|Scenic Driving|Camping|Group Camping|Food|Picnicking|Guided Tours|Self-Guided Tours - Walking|Self-Guided Tours - Auto|Living History|Reenactments|Historic Weapons Demonstration|First Person Interpretation|Junior Ranger Program|Park Film|Museum Exhibits|Shopping|Bookstore and Park Store|Gift Shop and Souvenirs,Summer temperatures reach highs in the 80s-90s and high humidity. Winter temperatures tend to be in the 40s and below. Snow can occur but is rare. Average annual precipitation is 46.24 inches and is fairly evenly distributed throughout the year. The National Prisoner of War Museum is maintained at a cool temperature to help preserve artifacts; dressing in layers is recommended.
anjo,Andrew Johnson,36.15624509,-82.83709021,"Andrew Johnson's complex presidency (1865-69) illustrates the Constitution at work following the Civil War. As the President and Congress disagreed on Reconstruction methods, the Constitution served as their guide on balance of powers, vetoes, and impeachment. In the end, it evolved as a living document with pivotal amendments on freedom, citizenship, and voting rights - topics still vital today.",Guided Tours|Junior Ranger Program|Museum Exhibits,"There are four distinct seasons in East Tennessee, but temperature and weather conditions can vary widely within those seasons. Spring and Fall are generally pleasant with frequent rain showers. Summer and Winter ranges can be extreme. The President's Homestead is not climate controlled and may be closed at times during excessive highs or lows in the summer and winter."
ania,Aniakchak,56.85317675,-157.5544362,"Given its remote location and challenging weather conditions, Aniakchak is one of the most wild and least visited places in the National Park System. This landscape is a vibrant reminder of Alaska's location in the volcanically active ""Ring of Fire,"" as it is home to an impressive six mile (10 km) wide, 2,500 ft (762 m) deep caldera formed during a massive volcanic eruption 3,500 years ago.",Camping|Backcountry Camping|Climbing|Mountain Climbing|Flying|Hiking|Backcountry Hiking|Paddling|Whitewater Rafting|Wildlife Watching|Birdwatching,"When you visit, be prepared to encounter all types of weather. On average, wet and cool conditions predominate in spring, summer, and fall. Strong winds can delay the departure and arrival of boats and floatplanes."
anti,Antietam,39.46763452,-77.73828017,"23,000 soldiers were killed, wounded or missing after twelve hours of savage combat on September 17, 1862. The Battle of Antietam ended the Confederate Army of Northern Virginia's first invasion into the North and led Abraham Lincoln to issue the preliminary Emancipation Proclamation.",Biking|Road Biking|Camping|Group Camping|Guided Tours|Self-Guided Tours - Walking|Self-Guided Tours - Auto|Hiking|Living History|Historic Weapons Demonstration|Junior Ranger Program|Wildlife Watching|Birdwatching|Park Film|Museum Exhibits|Shopping|Bookstore and Park Store,The weather is fairly mild. Summers can be very warm and humid and winters cold and snowy. We have four distinct seasons with the fall and spring being the best times to visit the battlefield.
apis,Apostle Islands,46.96240467,-90.66045665,"Imagine that moment, being in that perfect spot as the sun rises, and everything comes into focus. A rocky shoreline suddenly reflects the world around you. Waiting for you among the water, land, forests, and history is that moment. How will the islands inspire you?",Boating|Motorized Boating|Sailing|Boat Tour|Camping|Backcountry Camping|Canoe or Kayak Camping|Group Camping|Fishing|Freshwater Fishing|Guided Tours|Boat Tour|Hiking|Hunting and Gathering|Hunting|Paddling|Canoe or Kayak Camping|Kayaking|Junior Ranger Program|SCUBA Diving|Snowshoeing|Swimming|Freshwater Swimming|Wildlife Watching|Birdwatching|Park Film|Shopping|Bookstore and Park Store|Gift Shop and Souvenirs,"Lake Superior is renowned for its cold temperatures, rough seas, fog, and sudden squalls. Boaters and paddlers should monitor marine weather forecasts and be constantly alert to changing conditions. Average daytime high temperatures range from 60 degrees Fahrenheit in May, to the upper 80s in mid-summer, to the mid-60s in September. Average lows vary from 40 degrees in May, to the upper 50s in mid-summer, to 50 degrees in September. Average water temperatures in May and June are only in the 40s."
appa,Appalachian,40.41029575,-76.4337548,"The Appalachian Trail is a 2,180+ mile long public footpath that traverses the scenic, wooded, pastoral, wild, and culturally resonant lands of the Appalachian Mountains. Conceived in 1921, built by private citizens, and completed in 1937, today the trail is managed by the National Park Service, US Forest Service, Appalachian Trail Conservancy, numerous state agencies and thousands of volunteers.",Astronomy|Stargazing|Camping|Backcountry Camping|Compass and GPS|Orienteering|Guided Tours|Self-Guided Tours - Walking|Hands-On|Citizen Science|Volunteer Vacation|Hiking|Backcountry Hiking|Front-Country Hiking|Junior Ranger Program|Snowshoeing|Wildlife Watching|Birdwatching,"It is your responsibility to be prepared for all weather conditions, including extreme and unexpected weather changes year-round. As the trail runs from Georgia to Maine there will be different weather conditions depending on your location. For weather along specific sections of the trail and at specific shelters, please refer to: http://www.atweather.org/"
apco,Appomattox Court House,37.38022164,-78.79856982,"On April 9, 1865, the surrender of the Army of Northern Virginia in the McLean House in the village of Appomattox Court House, Virginia signaled the end of the nation's largest war. Two important questions about its future were answered. Could the nation survive a civil war intact, and would that nation exist without slavery? The answer to both was yes and a new nation was born.",Arts and Culture|Craft Demonstrations|Cultural Demonstrations|Live Music|Theater|Auto and ATV|Scenic Driving|Astronomy|Stargazing|Food|Picnicking|Guided Tours|Self-Guided Tours - Walking|Hiking|Front-Country Hiking|Living History|Historic Weapons Demonstration|First Person Interpretation|Junior Ranger Program|Wildlife Watching|Birdwatching|Park Film|Museum Exhibits|Shopping|Bookstore and Park Store|Gift Shop and Souvenirs,"The park may close due to emergency weather conditions (typically snow or ice). For updated information about possible closure or altered hours due to weather, please call 434-352-8987 ext. 245."
arch,Arches,38.72261844,-109.5863666,"Visit Arches to discover a landscape of contrasting colors, land forms, and textures unlike any other in the world. The park has over 2,000 natural stone arches and hundreds of soaring pinnacles, massive rock fins, and giant balanced rocks. This red-rock wonderland will amaze you with its formations, refresh you with its trails, and inspire you with its sunsets.",Arts and Culture|Auto and ATV|Scenic Driving|Astronomy|Stargazing|Biking|Camping|Backcountry Camping|Car or Front Country Camping|Group Camping|Canyoneering|Climbing|Rock Climbing|Guided Tours|Hiking|Horse Trekking|Horseback Riding|Junior Ranger Program|Shopping|Bookstore and Park Store,"Arches is part of the Colorado Plateau, a ""high desert"" region that experiences wide temperature fluctuations, sometimes over 40 degrees in a single day. The temperate (and most popular) seasons are spring (April-May) and fall (mid-September-October), when daytime highs average 60 to 80 F and lows average 30 to 50 F. Summer temperatures often exceed 100 F, making strenuous exercise difficult. Winters are cold, with highs averaging 30 to 50 F, and lows averaging 0 to 20 F."
arpo,Arkansas Post,34.00389998,-91.30837178,"Located at the confluence of two rivers, Arkansas Post has served as a gathering place for many cultures throughout human history - it represents cultural cooperation, conflict, synthesis, and diversity.",Arts and Culture|Cultural Demonstrations|Boating|Fishing|Freshwater Fishing|Food|Picnicking|Guided Tours|Self-Guided Tours - Walking|Hiking|Front-Country Hiking|Living History|Historic Weapons Demonstration|First Person Interpretation|Paddling|Canoeing|Kayaking|Junior Ranger Program|Wildlife Watching|Birdwatching|Park Film|Museum Exhibits|Shopping|Bookstore and Park Store|Gift Shop and Souvenirs,"Arkansas shares the same climate classification as the rest of the southeastern United States: humid subtropical. This type of climate features relatively mild winters and hot, steamy summers."
arho,"Arlington House, The Robert E. Lee Memorial",38.8822021484375,-77.0734786987305,"Arlington House is the nation’s memorial to Robert E. Lee. It honors him for specific reasons, including his role in promoting peace and reunion after the Civil War. In a larger sense it exists as a place of study and contemplation of the meaning of some of the most difficult aspects of American History: military service; sacrifice; citizenship; duty; loyalty; slavery and freedom.",Guided Tours|Self-Guided Tours - Walking|Museum Exhibits,"Summers on the parkway are generally hot and humid, with daytime highs frequently above 90 degrees Fahrenheit and scattered afternoon thunderstorms. Please carry water while participating in physical activity and be prepared to take shelter from lightning. Winters on the parkway are generally cold, with nighttime lows frequently near freezing and occasional snowfall. Please be alert for snowplows and icy spots on roadways. Weather during spring and fall is generally moderate, but can change quickly."
asis,Assateague Island,38.05593172,-75.24524611,"Want to live on the edge? Visit a place recreated each day by ocean wind and waves. Life on Assateague Island has adapted to an existence on the move. Explore sandy beaches, salt marshes, maritime forests and coastal bays. Rest, relax, recreate and enjoy some time on the edge of the continent.",Arts and Culture|Auto and ATV|Auto Off-Roading|Astronomy|Stargazing|Biking|Camping|Backcountry Camping|Canoe or Kayak Camping|Car or Front Country Camping|Horse Camping (see also Horse/Stock Use)|Group Camping|RV Camping|Compass and GPS|Geocaching|Fishing|Saltwater Fishing|Guided Tours|Hiking|Backcountry Hiking|Front-Country Hiking|Off-Trail Permitted Hiking|Horse Trekking|Horse Camping (see also camping)|Horseback Riding|Hunting and Gathering|Hunting|Paddling|Canoeing|Canoe or Kayak Camping|Kayaking|Stand Up Paddleboarding|Junior Ranger Program|Surfing|Swimming|Saltwater Swimming|Wildlife Watching|Birdwatching|Park Film|Shopping|Bookstore and Park Store,"Spring: Often windy and cool with lows in the 40's and highs in the 60's. Summer: Hot and humid with lows in the 60's and highs in the 80's. Fall: Warm with lows in the 50's and highs in the 70's. Winter: Damp cold and often windy. Lows in the 20's, highs in the 40's."
azru,Aztec Ruins,36.83682216,-107.9999245,Pueblo people describe this site as part of their migration journey. Today you can follow their ancient passageways to a distant time. Explore a 900-year old ancestral Pueblo Great House of over 400 masonry rooms. Look up and see original timbers holding up the roof. Search for the fingerprints of ancient workers in the mortar. Listen for an echo of ritual drums in the reconstructed Great Kiva.,Arts and Culture|Cultural Demonstrations|Guided Tours|Self-Guided Tours - Walking|Hiking|Front-Country Hiking|Junior Ranger Program|Park Film|Museum Exhibits|Shopping|Bookstore and Park Store,"Summer High temperatures range between 80°F and 99°F degrees with a few days over 100°F. Afternoon thunderstorms usually cool things down in late July and August. Fall Usually pleasant, with mild days and crisp nights. Winter Daytime temperatures range between 20°F and 50°F with cold nights that can reach 0°F. Snow is periodic, but accumulations are typically only 1-2 inches. Spring Weather is especially unpredictable: it can be windy, cold, and wet, or still, warm, and dry."
badl,Badlands,43.68584846,-102.482942,"The rugged beauty of the Badlands draws visitors from around the world. These striking geologic deposits contain one of the world’s richest fossil beds. Ancient horses and rhinos once roamed here. The park’s 244,000 acres protect an expanse of mixed-grass prairie where bison, bighorn sheep, prairie dogs, and black-footed ferrets live today.",Auto and ATV|Scenic Driving|Astronomy|Biking|Camping|Backcountry Camping|Car or Front Country Camping|Horse Camping (see also Horse/Stock Use)|Compass and GPS|Food|Hiking|Horse Trekking|Horse Camping (see also camping)|Horseback Riding|Junior Ranger Program|Wildlife Watching|Birdwatching|Park Film|Shopping|Bookstore and Park Store|Gift Shop and Souvenirs,The Badlands weather is variable and unpredictable with temperature extremes ranging from 116° F to -40° F. Summers are hot and dry with occasional violent thunderstorms. Hailstorms and occasional tornadoes can descend on the Badlands with sudden fury. Winters are typically cold with 12 to 24 inches of total snowfall.
bawa,Baltimore-Washington,39.02604289,-76.85410921,"This 29-mile highway connects Baltimore, MD and Washington, D.C. The parkway has carried visitors to and from the capital city since 1954.",Auto and ATV|Scenic Driving,"The Washington, D.C. area has a four-season Mid-Atlantic climate. Summertime is warm and humid, while winter can be cold and snowy. Spring: During these months of transition, the weather can alternate from warm, humid air coming from the south to cold, dry air coming from the northwest. Be prepared for changing conditions. Summer: The warmest months are June, July, and August, with average highs in the 80s (~31 ?) combined with high humidity. Temperatures often climb into the 90s (~34?)."
band,Bandelier,35.77898596,-106.3317124,"Bandelier National Monument protects over 33,000 acres of rugged but beautiful canyon and mesa country as well as evidence of a human presence here going back over 11,000 years. Petroglyphs, dwellings carved into the soft rock cliffs, and standing masonry walls pay tribute to the early days of a culture that still survives in the surrounding communities.",Arts and Culture|Craft Demonstrations|Cultural Demonstrations|Astronomy|Stargazing|Camping|Backcountry Camping|Car or Front Country Camping|Group Camping|Food|Picnicking|Guided Tours|Self-Guided Tours - Walking|Hiking|Backcountry Hiking|Front-Country Hiking|Junior Ranger Program|Skiing|Cross-Country Skiing|Snowshoeing|Wildlife Watching|Birdwatching|Park Film|Museum Exhibits|Shopping|Bookstore and Park Store|Gift Shop and Souvenirs,"Spring daytime temperatures in the 70's can be followed by a snow storm with wet heavy snow and daytime temperatures in the 40's. Summer s dry with June usually being the hottest month of the year. Days in July, August and September often end with thunderstorms that can drop heavy localized rain and are often accompanied by lightning. Autumn weather is usually sunny with turquoise blue skies and warm (but not hot) days and cool nights. Winter average snowfall 25"". Snow and ice can close trails and roads."
bepa,Belmont-Paul Women's Equality,38.89231541,-77.00381882,"Home to the National Woman's Party for more than 90 years, this was the epicenter of the struggle for women's rights. From this house in the shadow of the U.S. Capitol and Supreme Court, Alice Paul and the NWP developed innovative strategies and tactics to advocate for the Equal Rights Amendment and equality for women. President Barack Obama designated the national monument on April 12, 2016.",Guided Tours|Self-Guided Tours - Walking|Junior Ranger Program|Park Film|Museum Exhibits|Shopping|Bookstore and Park Store|Gift Shop and Souvenirs,Washington DC gets to see all four seasons. Humidity will make the temps feel hotter in summer and colder in winter. Spring (March - May) Temp: Average high is 65.5 degrees with a low of 46.5 degrees Summer (June - August) Temp: Average high is 86 degrees with a low of 68.5 degrees Fall (September - November) Temp: Average high is 68 degrees with a low of 51.5 degrees Winter (December - February) Temp: Average high is 45 degrees with a low of 30 degrees (Source: www.usclimatedata.com)
beol,Bent's Old Fort,38.03977546,-103.4266499,"Bent's Old Fort National Historic Site features a reconstructed 1840s adobe fur trading post on the mountain branch of the Santa Fe Trail where traders, trappers, travelers, and the Cheyenne and Arapaho tribes came together in peaceful terms for trade. Today, living historians recreate the sights, sounds, and smells of the past with guided tours, demonstrations and special events.",Arts and Culture|Craft Demonstrations|Cultural Demonstrations|Biking|Road Biking|Fishing|Freshwater Fishing|Guided Tours|Self-Guided Tours - Walking|Hiking|Living History|Reenactments|Historic Weapons Demonstration|First Person Interpretation|Junior Ranger Program|Tubing|Snow Tubing|Skiing|Cross-Country Skiing|Snowshoeing|Wildlife Watching|Birdwatching|Park Film|Museum Exhibits|Shopping|Bookstore and Park Store|Gift Shop and Souvenirs,"Summer temperatures are are often in the high 90s and low 100s. Weather is generally fair in the fall and spring. Winter temperatures can be below freezing. Most of the fort is unheated and does not have modern cooling systems, so dress accordingly."
bela,Bering Land Bridge,65.96087902,-164.4086432,Bering Land Bridge National Preserve lies at the continental crossroads that greatly influenced the distribution of life in the Western Hemisphere during the Pleistocene Epoch. It is a vital landscape for indigenous communities who depend on the land just as their ancestors did for many generations. It is a wild and ecologically healthy landscape unlike any other.,Camping|Backcountry Camping|Dog Sledding|Flying|Fixed Wing Flying|Hiking|Backcountry Hiking|Hunting and Gathering|Gathering and Foraging|Junior Ranger Program|Snowmobiling|Wildlife Watching|Birdwatching,"Weather in the Seward Peninsula is generally characterized by long freezing winters and short, cool summers. Coastal areas typically have mild weather, while the interior has greater seasonal variation in temperature and precipitation."
bibe,Big Bend,29.29817767,-103.2297897,"There is a place in Far West Texas where night skies are dark as coal and rivers carve temple-like canyons in ancient limestone. Here, at the end of the road, hundreds of bird species take refuge in a solitary mountain range surrounded by weather-beaten desert. Tenacious cactus bloom in sublime southwestern sun, and diversity of species is the best in the country. This magical place is Big Bend...",Auto and ATV|Scenic Driving|Astronomy|Stargazing|Biking|Camping|Backcountry Camping|Fishing|Food|Guided Tours|Hiking|Backcountry Hiking|Paddling|Canoeing|Canoe or Kayak Camping|Kayaking|Junior Ranger Program|Wildlife Watching|Birdwatching,"Big Bend is a desert park, so be prepared for extreme conditions. SPRING: From February through April the park abounds with pleasant and comfortable temperatures. SUMMER: May through September is very hot. Temperatures exceed 100 degrees in the lower elevations by late morning, and often exceed 110 along the Rio Grande. Afternoon thunderstorms can be a welcome respite. WINTER: October through January temperatures are cooler; the weather can quickly turn cold at any time during these months."
